"participant_id",        "condition",        "response_format",        "block",        "training_trial_count",        "test_trial_count",        "trial_index",        "target_truth_value",        "target_content_type",        "linguistic_prompt",        "target_image",        "images_in_presentation_order_0",        "images_in_presentation_order_1",        "images_in_presentation_order_2",        "images_in_presentation_order_3",        "response",        "time_elapsed",        "rt"
"u0ajg1ybek","truth","radio","training","1","na","5","na","na","The triangle is blue.","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/filler-A3.jpg","pilot_scenes/training_stims/filler-A1.jpg","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/filler-A2.jpg","True","22093","9487"
"u0ajg1ybek","truth","radio","training","1","na","7","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B1.jpg","pilot_scenes/training_stims/filler-B2.jpg","pilot_scenes/training_stims/filler-B3.jpg","True","30260","5694"
"u0ajg1ybek","truth","radio","training","1","na","9","na","na","The circle is blue and is right of the triangle.","pilot_scenes/training_stims/target-C.jpg","pilot_scenes/training_stims/target-C.jpg","pilot_scenes/training_stims/filler-C3.jpg","pilot_scenes/training_stims/filler-C2.jpg","pilot_scenes/training_stims/filler-C1.jpg","False","38164","6871"
"u0ajg1ybek","truth","radio","test","na","1","12","ft","def_un","The circle is left of the triangle.","pilot_scenes/def_un-ft-2.jpg","pilot_scenes/def_un-ft-2.jpg","pilot_scenes/def_un-tf-1.jpg","pilot_scenes/def_un-ft-2.jpg","pilot_scenes/def_un-ft-2.jpg","False","50380","5928"
"u0ajg1ybek","truth","radio","test","na","2","13","ff","def_ex","The blue circle is next to the triangle.","pilot_scenes/def_ex-ff-2.jpg","pilot_scenes/def_ex-tt-1.jpg","pilot_scenes/def_ex-tt-2.jpg","pilot_scenes/def_ex-tf-1.jpg","pilot_scenes/def_ex-ff-2.jpg","True","55052","4669"
"u0ajg1ybek","truth","radio","test","na","3","14","tt","def_un","The circle is left of the triangle.","pilot_scenes/def_un-tt-1.jpg","pilot_scenes/def_un-ft-1.jpg","pilot_scenes/def_un-ff-1.jpg","pilot_scenes/def_un-tt-1.jpg","pilot_scenes/def_un-tf-2.jpg","True","61082","6028"
"u0ajg1ybek","truth","radio","test","na","4","15","tf","arc","The circle, which is blue, is right of the triangle.","pilot_scenes/arc-tf-1.jpg","pilot_scenes/arc-ft-2.jpg","pilot_scenes/arc-tf-2.jpg","pilot_scenes/arc-tf-1.jpg","pilot_scenes/arc-ff-2.jpg","False","68539","7454"
"u0ajg1ybek","truth","radio","test","na","5","16","ff","only","Only the square is green.","pilot_scenes/only-ff-2.jpg","pilot_scenes/only-ff-2.jpg","pilot_scenes/only-tt-2.jpg","pilot_scenes/only-tt-1.jpg","pilot_scenes/only-ff-2.jpg","False","73427","4886"
"u0ajg1ybek","truth","radio","test","na","6","17","ft","arc","The circle, which is blue, is right of the triangle.","pilot_scenes/arc-ft-2.jpg","pilot_scenes/arc-tt-1.jpg","pilot_scenes/arc-ft-2.jpg","pilot_scenes/arc-ft-2.jpg","pilot_scenes/arc-ft-2.jpg","False","78563","5134"
"u0ajg1ybek","truth","radio","test","na","7","18","tt","only","Only the square is green.","pilot_scenes/only-tt-2.jpg","pilot_scenes/only-tt-1.jpg","pilot_scenes/only-tt-1.jpg","pilot_scenes/only-tt-2.jpg","pilot_scenes/only-tf-1.jpg","True","87347","8782"
