"participant_id",        "condition",        "response_format",        "block",        "training_trial_count",        "test_trial_count",        "trial_index",        "target_truth_value",        "target_content_type",        "linguistic_prompt",        "target_image",        "images_in_presentation_order_0",        "images_in_presentation_order_1",        "images_in_presentation_order_2",        "images_in_presentation_order_3",        "response",        "time_elapsed",        "rt"
"u8eyeu6zal","acceptability","radio","training","1","na","5","na","na","The triangle is blue.","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/filler-A3.jpg","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/filler-A1.jpg","pilot_scenes/training_stims/filler-A2.jpg","Acceptable","74138","7669"
"u8eyeu6zal","acceptability","radio","training","1","na","7","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B1.jpg","pilot_scenes/training_stims/filler-B3.jpg","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B2.jpg","Acceptable","87350","11047"
"u8eyeu6zal","acceptability","radio","training","1","na","9","na","na","The circle is blue and is right of the triangle.","pilot_scenes/training_stims/target-C.jpg","pilot_scenes/training_stims/filler-C2.jpg","pilot_scenes/training_stims/filler-C1.jpg","pilot_scenes/training_stims/filler-C3.jpg","pilot_scenes/training_stims/target-C.jpg","Unacceptable","98564","10229"
"u8eyeu6zal","acceptability","radio","test","na","1","12","ft","ana","The triangle is orange too.","pilot_scenes/ana-ft-2.jpg","pilot_scenes/ana-ft-2.jpg","pilot_scenes/ana-tt-1.jpg","pilot_scenes/ana-ft-2.jpg","pilot_scenes/ana-ff-2.jpg","Unacceptable","106164","5831"
"u8eyeu6zal","acceptability","radio","test","na","2","13","ff","def_un","The circle is left of the triangle.","pilot_scenes/def_un-ff-1.jpg","pilot_scenes/def_un-tt-2.jpg","pilot_scenes/def_un-ff-1.jpg","pilot_scenes/def_un-tt-1.jpg","pilot_scenes/def_un-tt-1.jpg","Unacceptable","113727","7561"
"u8eyeu6zal","acceptability","radio","test","na","3","14","tf","ana","The triangle is orange too.","pilot_scenes/ana-tf-1.jpg","pilot_scenes/ana-ft-2.jpg","pilot_scenes/ana-tt-2.jpg","pilot_scenes/ana-tf-1.jpg","pilot_scenes/ana-tt-1.jpg","Unacceptable","125340","11610"
"u8eyeu6zal","acceptability","radio","test","na","4","15","tt","def_un","The circle is left of the triangle.","pilot_scenes/def_un-tt-2.jpg","pilot_scenes/def_un-ft-2.jpg","pilot_scenes/def_un-tf-1.jpg","pilot_scenes/def_un-tt-2.jpg","pilot_scenes/def_un-tf-2.jpg","Acceptable","132355","7012"
"u8eyeu6zal","acceptability","radio","test","na","5","16","ft","def_un","The circle is left of the triangle.","pilot_scenes/def_un-ft-1.jpg","pilot_scenes/def_un-ft-2.jpg","pilot_scenes/def_un-tt-1.jpg","pilot_scenes/def_un-tt-1.jpg","pilot_scenes/def_un-ft-1.jpg","Unacceptable","139253","6896"
"u8eyeu6zal","acceptability","radio","test","na","6","17","tf","def_ex","The blue circle is next to the triangle.","pilot_scenes/def_ex-tf-2.jpg","pilot_scenes/def_ex-tf-2.jpg","pilot_scenes/def_ex-tf-1.jpg","pilot_scenes/def_ex-tf-2.jpg","pilot_scenes/def_ex-ft-2.jpg","Unacceptable","152883","13627"
"u8eyeu6zal","acceptability","radio","test","na","7","18","ff","only","Only the square is green.","pilot_scenes/only-ff-2.jpg","pilot_scenes/only-ft-1.jpg","pilot_scenes/only-ft-1.jpg","pilot_scenes/only-ft-2.jpg","pilot_scenes/only-ff-2.jpg","Unacceptable","160597","7712"
"u8eyeu6zal","acceptability","radio","test","na","8","19","tt","def_ex","The blue circle is next to the triangle.","pilot_scenes/def_ex-tt-1.jpg","pilot_scenes/def_ex-ff-2.jpg","pilot_scenes/def_ex-tt-1.jpg","pilot_scenes/def_ex-tf-2.jpg","pilot_scenes/def_ex-tt-1.jpg","Acceptable","167462","6862"
