"participant_id",        "condition",        "response_format",        "block",        "training_trial_count",        "test_trial_count",        "trial_index",        "target_truth_value",        "target_content_type",        "linguistic_prompt",        "target_image",        "images_in_presentation_order_0",        "images_in_presentation_order_1",        "images_in_presentation_order_2",        "images_in_presentation_order_3",        "response",        "time_elapsed",        "rt"
"d18tg2yua5","acceptability","slider","training","1","na","5","na","na","The triangle is blue.","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/filler-A1.jpg","pilot_scenes/training_stims/filler-A2.jpg","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/filler-A3.jpg","100","105583","12667"
"d18tg2yua5","acceptability","slider","training","1","na","7","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B3.jpg","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B2.jpg","pilot_scenes/training_stims/filler-B1.jpg","100","119980","11636"
"d18tg2yua5","acceptability","slider","training","2","na","8","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B3.jpg","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B2.jpg","pilot_scenes/training_stims/filler-B1.jpg","67","147557","27572"
"d18tg2yua5","acceptability","slider","training","3","na","9","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B3.jpg","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B2.jpg","pilot_scenes/training_stims/filler-B1.jpg","83","162023","14461"
"d18tg2yua5","acceptability","slider","training","4","na","10","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B3.jpg","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B2.jpg","pilot_scenes/training_stims/filler-B1.jpg","71","165381","3354"
"d18tg2yua5","acceptability","slider","training","5","na","11","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B3.jpg","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B2.jpg","pilot_scenes/training_stims/filler-B1.jpg","43","182198","16811"
"d18tg2yua5","acceptability","slider","training","1","na","13","na","na","The circle is blue and is right of the triangle.","pilot_scenes/training_stims/target-C.jpg","pilot_scenes/training_stims/target-C.jpg","pilot_scenes/training_stims/filler-C3.jpg","pilot_scenes/training_stims/filler-C1.jpg","pilot_scenes/training_stims/filler-C2.jpg","0","228777","19196"
"d18tg2yua5","acceptability","slider","test","na","1","16","ff","def_ex","The blue circle is next to the triangle.","pilot_scenes/def_ex-ff-1.jpg","pilot_scenes/def_ex-ff-1.jpg","pilot_scenes/def_ex-tt-2.jpg","pilot_scenes/def_ex-ff-1.jpg","pilot_scenes/def_ex-ff-2.jpg","3","262697","26271"
"d18tg2yua5","acceptability","slider","test","na","2","17","ff","arc","The circle, which is blue, is right of the triangle.","pilot_scenes/arc-ff-2.jpg","pilot_scenes/arc-ff-1.jpg","pilot_scenes/arc-ff-2.jpg","pilot_scenes/arc-tf-1.jpg","pilot_scenes/arc-tf-1.jpg","3","287512","24811"
"d18tg2yua5","acceptability","slider","test","na","3","18","ff","con","The square is orange and is left of the circle.","pilot_scenes/con-ff-1.jpg","pilot_scenes/con-ff-1.jpg","pilot_scenes/con-ff-2.jpg","pilot_scenes/con-tt-2.jpg","pilot_scenes/con-tf-1.jpg","2","307048","19531"
