"participant_id",        "condition",        "response_format",        "block",        "training_trial_count",        "test_trial_count",        "trial_index",        "target_truth_value",        "target_content_type",        "linguistic_prompt",        "target_image",        "images_in_presentation_order_0",        "images_in_presentation_order_1",        "images_in_presentation_order_2",        "images_in_presentation_order_3",        "response",        "time_elapsed",        "rt"
"xutch6kmja","truth","radio","training","1","na","5","na","na","The triangle is blue.","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/filler-A1.jpg","pilot_scenes/training_stims/filler-A3.jpg","pilot_scenes/training_stims/target-A.jpg","pilot_scenes/training_stims/filler-A2.jpg","True","15599","8800"
"xutch6kmja","truth","radio","training","1","na","7","na","na","The square that is next to the triangle is green.","pilot_scenes/training_stims/target-B.jpg","pilot_scenes/training_stims/filler-B2.jpg","pilot_scenes/training_stims/filler-B1.jpg","pilot_scenes/training_stims/filler-B3.jpg","pilot_scenes/training_stims/target-B.jpg","True","25303","7408"
"xutch6kmja","truth","radio","training","1","na","9","na","na","The circle is blue and is right of the triangle.","pilot_scenes/training_stims/target-C.jpg","pilot_scenes/training_stims/filler-C3.jpg","pilot_scenes/training_stims/target-C.jpg","pilot_scenes/training_stims/filler-C1.jpg","pilot_scenes/training_stims/filler-C2.jpg","False","34640","7948"
"xutch6kmja","truth","radio","test","na","1","12","tt","arc","The circle, which is blue, is right of the triangle.","pilot_scenes/arc-tt-1.jpg","pilot_scenes/arc-tf-2.jpg","pilot_scenes/arc-tt-1.jpg","pilot_scenes/arc-tt-2.jpg","pilot_scenes/arc-tt-2.jpg","True","46914","7087"
"xutch6kmja","truth","radio","test","na","2","13","tf","ana","The triangle is orange too.","pilot_scenes/ana-tf-1.jpg","pilot_scenes/ana-tf-2.jpg","pilot_scenes/ana-tf-1.jpg","pilot_scenes/ana-ft-2.jpg","pilot_scenes/ana-ft-1.jpg","False","52546","5630"
"xutch6kmja","truth","radio","test","na","3","14","ff","def_ex","The blue circle is next to the triangle.","pilot_scenes/def_ex-ff-2.jpg","pilot_scenes/def_ex-ff-2.jpg","pilot_scenes/def_ex-tf-2.jpg","pilot_scenes/def_ex-tf-2.jpg","pilot_scenes/def_ex-ft-2.jpg","False","57711","5164"
"xutch6kmja","truth","radio","test","na","4","15","ff","con","The square is orange and is left of the circle.","pilot_scenes/con-ff-1.jpg","pilot_scenes/con-tt-2.jpg","pilot_scenes/con-ff-1.jpg","pilot_scenes/con-tt-2.jpg","pilot_scenes/con-ft-2.jpg","False","66422","8711"
"xutch6kmja","truth","radio","test","na","5","16","ff","only","Only the square is green.","pilot_scenes/only-ff-2.jpg","pilot_scenes/only-ft-1.jpg","pilot_scenes/only-ff-2.jpg","pilot_scenes/only-tf-2.jpg","pilot_scenes/only-ff-1.jpg","False","71778","5355"
"xutch6kmja","truth","radio","test","na","6","17","ff","ana","The triangle is orange too.","pilot_scenes/ana-ff-1.jpg","pilot_scenes/ana-ff-1.jpg","pilot_scenes/ana-tf-1.jpg","pilot_scenes/ana-ff-1.jpg","pilot_scenes/ana-ff-2.jpg","False","76756","4976"
"xutch6kmja","truth","radio","test","na","7","18","tt","con","The square is orange and is left of the circle.","pilot_scenes/con-tt-2.jpg","pilot_scenes/con-ff-2.jpg","pilot_scenes/con-tt-2.jpg","pilot_scenes/con-ft-2.jpg","pilot_scenes/con-ff-2.jpg","True","81337","4580"
"xutch6kmja","truth","radio","test","na","8","19","ft","only","Only the square is green.","pilot_scenes/only-ft-1.jpg","pilot_scenes/only-ft-1.jpg","pilot_scenes/only-ft-1.jpg","pilot_scenes/only-tf-1.jpg","pilot_scenes/only-ff-1.jpg","False","96442","15103"
"xutch6kmja","truth","radio","test","na","9","20","ff","def_ex","The blue circle is next to the triangle.","pilot_scenes/def_ex-ff-1.jpg","pilot_scenes/def_ex-ff-1.jpg","pilot_scenes/def_ex-tt-2.jpg","pilot_scenes/def_ex-ff-2.jpg","pilot_scenes/def_ex-tf-2.jpg","False","101175","4733"
